,organism,Number of CRISPRs,Total Cas Prots,Total non V-U Prots,Genes present,System type,system subtype,multiple systems,cas1 missing,missing signature prot,missing RSAs,Taxonomic ID Genus,TaxonID,Taxonomic ID Kingdom,Taxonomic ID Phylum,Taxonomic ID Class,Taxonomic ID Order,Taxonomic ID Family,name
15,NC_002663,3.0,5.0,5.0,cas8f|cas1|cas9|cas3,TypeI|TypeII,TypeI-F|TypeII-C,2.0,,,not all loci have repeats,Pasteurella,745.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,NC_002663
16,NC_002689,2.0,3.0,3.0,csm6|cas1|cas10,TypeIII,TypeIII-A,1.0,,,not all loci have repeats,Thermoplasma,2302.0,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,NC_002578
17,NC_002695,1.0,7.0,3.0,cas1|c2c8|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Escherichia,561.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_blattae
18,NC_002737,2.0,8.0,10.0,csm6|cas1|cas8c|cas9|cas4|csn2|cas3,TypeI|TypeII,TypeI-C|TypeII-B|TypeII-A,2.0,,,not all loci have repeats,Streptococcus,1301.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NC_002737
19,NC_002754,7.0,24.0,32.0,cas1|csx10|cmr1|cas4|cas8a|cas10|cas3,TypeIII|TypeI,TypeIII-C|TypeIII-B/TypeIII-D|TypeI-A,2.0,,,not all loci have repeats,Sulfolobus,2284.0,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,NC_002754
20,NC_002755,3.0,7.0,3.0,csm6|cas1|c2c9|cas10,TypeV-U|TypeIII,TypeVU-4|TypeIII-A,2.0,,,not all loci have repeats,Mycobacterium,1763.0,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium_africanum
21,NC_002932,2.0,7.0,9.0,cas1|cas8c|cas4|cas8e|cas3,TypeI,TypeI-E|TypeI-C,1.0,,,not all loci have repeats,Chlorobium,1091.0,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium_chlorochromatii
22,NC_002935,2.0,5.0,5.0,cas1|cas9|cas8e|cas3,TypeI|TypeII,TypeI-E|TypeII-C,2.0,,,not all loci have repeats,Corynebacterium,1716.0,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_aurimucosum
23,NC_002939,2.0,7.0,9.0,cas1|cas4|cas8u|cas8e|cas3,TypeI,TypeI-E|TypeI-U,1.0,,,not all loci have repeats,Geobacter,28231.0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter_bemidjiensis
24,NC_002945,3.0,7.0,3.0,csm6|cas1|c2c9|cas10,TypeV-U|TypeIII,TypeVU-4|TypeIII-A,2.0,,,not all loci have repeats,Mycobacterium,1763.0,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium_africanum
25,NC_002950,4.0,11.0,13.0,cas1|cmr1|cas4|cas8b|cas10|cas3|cas13b,TypeVI|TypeIII|TypeI,TypeVI-B|TypeIII-B/TypeIII-D|TypeI-B,3.0,,,not all loci have repeats,Porphyromonas,836.0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NC_002950
26,NC_002951,1.0,0.0,0.0,,,,,,,not all loci have repeats,Staphylococcus,1279.0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,NC_002745
27,NC_002967,1.0,3.0,3.0,cas1|cas9|csn2,TypeII,TypeII-A,1.0,,,not all loci have repeats,Treponema,157.0,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,NC_002967
28,NC_002976,1.0,3.0,3.0,csm6|cas1|cas10,TypeIII,TypeIII-A,1.0,,,not all loci have repeats,Staphylococcus,1279.0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,NC_002745
29,NC_002977,2.0,8.0,12.0,cas1|cas8c|cas4|cas8e|cas3,TypeI,TypeI-E|TypeI-C,1.0,,,not all loci have repeats,Methylococcus,413.0,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus_capsulatus
30,NC_003106,8.0,17.0,25.0,cas1|csx10|cmr1|cas4|cas8a|cas10|cas3,TypeIII|TypeI,TypeIII-C|TypeIII-B/TypeIII-D|TypeI-A,2.0,,,not all loci have repeats,Sulfolobus,2284.0,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,NC_002754
31,NC_003112,1.0,0.0,0.0,,,,,,,not all loci have repeats,Neisseria,482.0,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,NC_002946
32,NC_003116,1.0,2.0,2.0,cas1|cas9,TypeII,TypeII-C,1.0,,,not all loci have repeats,Neisseria,482.0,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,NC_002946
33,NC_003143,3.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Yersinia,629.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,NC_003143
34,NC_003155,3.0,5.0,3.0,cas1|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Streptomyces,1883.0,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,NC_003155
35,NC_003197,3.0,4.0,3.0,cas1|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
36,NC_003198,1.0,4.0,2.0,cas1|c2c8|c2c9|cas8e,TypeV-U,TypeVU-2|TypeVU-4,1.0,,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
37,NC_003210,1.0,0.0,0.0,,,,,,,not all loci have repeats,Listeria,1637.0,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria_innocua
38,NC_003212,1.0,3.0,3.0,cas1|cas9|csn2,TypeII,TypeII-A,1.0,,,not all loci have repeats,Listeria,1637.0,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria_innocua
39,NC_003228,2.0,3.0,3.0,cas1|cas9|cas13b,TypeVI|TypeII,TypeVI-B|TypeII-C,2.0,,,not all loci have repeats,Bacteroides,816.0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_CF50
40,NC_003272,11.0,18.0,14.0,cas1|csx10|cas10d|cas4|c2c5|c2c9|cas10|cas3,TypeV-U|TypeIII|TypeI,TypeVU-4|TypeVU-5|TypeIII-C|TypeI-D,3.0,,,not all loci have repeats,Nostoc,1177.0,Bacteria,Cyanobacteria,Cyanobacteria,Nostocales,Nostocaceae,_Nostoc
41,NC_003364,5.0,14.0,22.0,csm6|cas1|cas4|cas8a|cas10|cas3,TypeIII|TypeI,TypeIII-A|TypeI-A,2.0,,,not all loci have repeats,Pyrobaculum,2276.0,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,NC_003364
42,NC_003413,7.0,10.0,12.0,cas1|cmr1|cas4|cas8b|cas8a|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-B|TypeI-A,2.0,,,not all loci have repeats,Pyrococcus,2260.0,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,NC_000868
43,NC_003454,1.0,4.0,6.0,cas1|cas4|cas8b|cas3,TypeI,TypeI-B,1.0,,,not all loci have repeats,Fusobacterium,848.0,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium_3
44,NC_003551,3.0,4.0,4.0,csm6|cas1|cas10,TypeIII,TypeIII-A,1.0,,,not all loci have repeats,Methanopyrus,2319.0,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus_kandleri
45,NC_003552,4.0,10.0,8.0,cas1|cas4|cas8b|c2c9|cas10|cas3,TypeV-U|TypeIII|TypeI,TypeVU-4|TypeI-B,3.0,,,not all loci have repeats,Methanosarcina,2207.0,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina_acetivorans
46,NC_003869,3.0,6.0,8.0,cas1|cmr1|cas4|cas8b|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-B,2.0,,,not all loci have repeats,Thermoanaerobacter,1754.0,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,NC_003869
47,NC_003901,2.0,9.0,10.0,cas1|cmr1|cas4|cas8b|c2c9|cas10|cas3,TypeV-U|TypeIII|TypeI,TypeVU-4|TypeIII-B/TypeIII-D|TypeI-B,3.0,,,not all loci have repeats,Methanosarcina,2207.0,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina_acetivorans
48,NC_003912,1.0,1.0,1.0,cas1,,,0.0,,missing signature protein,not all loci have repeats,Campylobacter,194.0,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_03
49,NC_003919,1.0,4.0,6.0,cas1|cas8c|cas4|cas3,TypeI,TypeI-C,1.0,,,not all loci have repeats,Xanthomonas,338.0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,NC_003902
50,NC_003923,1.0,0.0,0.0,,,,,,,not all loci have repeats,Staphylococcus,1279.0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,NC_002745
51,NC_004088,2.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Yersinia,629.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,NC_003143
52,NC_004116,1.0,4.0,4.0,csm6|cas1|cas9|csn2,TypeII,TypeII-A,1.0,,,not all loci have repeats,Streptococcus,1301.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NC_002737
53,NC_004342,4.0,9.0,13.0,cas1|cas8c|cas4|cas8b|cas3,TypeI,TypeI-B|TypeI-C,1.0,,,not all loci have repeats,Leptospira,171.0,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira_biflexa
54,NC_004350,1.0,11.0,13.0,csm6|cas1|cas8c|cas9|cas4|csn2|cas3,TypeI|TypeII,TypeI-C|TypeII-B|TypeII-A,2.0,,,not all loci have repeats,Streptococcus,1301.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NC_002737
55,NC_004368,1.0,4.0,4.0,csm6|cas1|cas9|csn2,TypeII,TypeII-A,1.0,,,not all loci have repeats,Streptococcus,1301.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NC_002737
56,NC_004369,1.0,0.0,0.0,,,,,,,not all loci have repeats,Corynebacterium,1716.0,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_aurimucosum
57,NC_004547,2.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Pectobacterium,122277.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,NC_004547
58,NC_004557,6.0,11.0,12.0,cas1|cas4|cas8b|c2c9|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-B,2.0,,,not all loci have repeats,Clostridium,1485.0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,_Clostridium
59,NC_004631,1.0,5.0,3.0,cas1|c2c8|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
60,NC_004757,2.0,4.0,4.0,cas1|cas10|cas3,TypeIII|TypeI,,2.0,,,not all loci have repeats,Nitrosomonas,914.0,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,NC_004757
61,NC_004829,1.0,3.0,3.0,cas1|cas9|csn2,TypeII,TypeII-A,1.0,,,not all loci have repeats,Mycoplasma,2093.0,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus_Mycoplasma
62,NC_005085,4.0,8.0,12.0,cas8f|cas1|cas8c|cas4|cas3,TypeI,TypeI-F|TypeI-C,1.0,,,not all loci have repeats,Chromobacterium,535.0,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium_violaceum
63,NC_005090,2.0,5.0,7.0,cas1|cas9|cas4,TypeII,TypeII-B,1.0,,,not all loci have repeats,Wolinella,843.0,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,NC_005090
64,NC_005126,6.0,4.0,4.0,cas8f|cas8e|cas3,TypeI,TypeI-F|TypeI-E,1.0,missing cas1,,not all loci have repeats,Photorhabdus,29487.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,NC_005126
65,NC_005140,2.0,3.0,3.0,cas1|csx10|cas10,TypeIII,TypeIII-C,1.0,,,not all loci have repeats,Vibrio,662.0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Listonella_anguillarum
66,NC_005213,2.0,4.0,6.0,cas1|cas4|cas8b|cas3,TypeI,TypeI-B,1.0,,,not all loci have repeats,Nanoarchaeum,193568.0,Archaea,DPANN group,Nanoarchaeota,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum_equitans
67,NC_005230,3.0,11.0,16.0,csm6|cas1|cmr1|cas10d|cas4|cas10|cas3,TypeIII|TypeI,TypeIII-A|TypeIII-B/TypeIII-D|TypeI-D,2.0,,,not all loci have repeats,Synechocystis,1142.0,Bacteria,Cyanobacteria,Cyanobacteria,Synechococcales,Merismopediaceae,NC_005230
68,NC_005810,2.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Yersinia,629.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,NC_003143
69,NC_005823,1.0,9.0,15.0,cas1|cas8c|cas4|cas8b|cas3,TypeI,TypeI-B|TypeI-C,1.0,,,not all loci have repeats,Leptospira,171.0,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira_biflexa
70,NC_005835,2.0,0.0,0.0,,,,,,,not all loci have repeats,Thermus,270.0,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,NC_005835
71,NC_005838,8.0,10.0,16.0,cas1|cas8c|cmr1|cas4|cas8b|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-B|TypeI-C,2.0,,,not all loci have repeats,Thermus,270.0,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,NC_005835
72,NC_005861,1.0,0.0,0.0,,,,,,,not all loci have repeats,Protochlamydia,282132.0,Bacteria,Chlamydiae,Chlamydiae,Parachlamydiales,Chlamydiia,Candidatus_Protochlamydia
73,NC_005863,1.0,4.0,6.0,cas1|cas8c|cas4|cas3,TypeI,TypeI-C,1.0,,,not all loci have repeats,Desulfovibrio,872.0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio_alaskensis
74,NC_005871,1.0,3.0,3.0,cas1|cas8e|cas3,TypeI,TypeI-E,1.0,,,not all loci have repeats,Photobacterium,657.0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NC_005871
75,NC_005877,4.0,7.0,10.0,csm6|cas1|cas10d|cas4|cas10|cas3,TypeIII|TypeI,TypeIII-A|TypeI-D,2.0,,,not all loci have repeats,Picrophilus,46631.0,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,NC_005877
76,NC_005966,3.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Acinetobacter,469.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter_ADP1
77,NC_006138,1.0,2.0,2.0,cas8u|cas3,TypeI,TypeI-U,1.0,missing cas1,,not all loci have repeats,Desulfotalea,109168.0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea_psychrophila
78,NC_006155,2.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Yersinia,629.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,NC_003143
79,NC_006177,3.0,5.0,5.0,cas1|cas8c|cas8e|cas3,TypeI,TypeI-E|TypeI-C,1.0,,,not all loci have repeats,Symbiobacterium,2733.0,Bacteria,Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,NC_006177
80,NC_006300,3.0,6.0,8.0,cas1|cas8c|cas4|cas10|cas3,TypeIII|TypeI,TypeI-C,2.0,,,not all loci have repeats,Mannheimia,75984.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia_haemolytica
81,NC_006347,1.0,5.0,7.0,cas1|cas4|cas8b|cas3|cas13b,TypeVI|TypeI,TypeVI-B|TypeI-B,2.0,,,not all loci have repeats,Bacteroides,816.0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_CF50
82,NC_006361,3.0,5.0,3.0,cas1|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Nocardia,1817.0,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,NC_006361
83,NC_006366,1.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Legionella,445.0,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella_pneumophila
84,NC_006368,1.0,3.0,5.0,cas1|cas9|cas4,TypeII,TypeII-B,1.0,,,not all loci have repeats,Legionella,445.0,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella_pneumophila
85,NC_006369,2.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Legionella,445.0,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella_pneumophila
86,NC_006371,1.0,2.0,2.0,cas1|cas3,TypeI,,1.0,,,not all loci have repeats,Photobacterium,657.0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NC_005871
87,NC_006391,1.0,0.0,0.0,,,,,,,not all loci have repeats,Haloarcula,2237.0,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula_hispanica
88,NC_006392,3.0,4.0,6.0,cas1|cas4|cas8b|cas3,TypeI,TypeI-B,1.0,,,not all loci have repeats,Haloarcula,2237.0,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula_hispanica
89,NC_006448,2.0,8.0,8.0,csm6|cas1|cas9|csn2|cas10,TypeIII|TypeII,TypeIII-A|TypeII-A,2.0,,,not all loci have repeats,Streptococcus,1301.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NC_002737
90,NC_006449,1.0,6.0,6.0,csm6|cas1|cas9|csn2,TypeII,TypeII-A,1.0,,,not all loci have repeats,Streptococcus,1301.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NC_002737
91,NC_006461,2.0,0.0,0.0,,,,,,,not all loci have repeats,Thermus,270.0,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,NC_005835
92,NC_006462,8.0,13.0,19.0,cas1|cmr1|cas4|cas8b|cas8e|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-E|TypeI-B,2.0,,,not all loci have repeats,Thermus,270.0,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,NC_005835
93,NC_006510,3.0,1.0,0.0,c2c9,TypeV-U,TypeVU-4,1.0,missing cas1,,not all loci have repeats,Geobacillus,129337.0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus_C56
94,NC_006511,2.0,3.0,1.0,cas1|c2c8|c2c9,TypeV-U,TypeVU-2|TypeVU-4,1.0,,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
95,NC_006513,3.0,6.0,6.0,cas1|cas8c|c2c8|cas4|c2c9|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-C,2.0,,,not all loci have repeats,Aromatoleum,551759.0,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum_aromaticum
96,NC_006526,3.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Zymomonas,541.0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NC_006526
97,NC_006582,7.0,4.0,6.0,cas1|cas8c|cas4|cas3,TypeI,TypeI-C,1.0,,,not all loci have repeats,Bacillus,1386.0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus_1NLA3E
98,NC_006624,3.0,9.0,12.0,cas1|cas4|cas8b|c2c9|cas8a|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-B|TypeI-A,2.0,,,not all loci have repeats,Thermococcus,2263.0,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,NC_006624
99,NC_006814,1.0,1.0,0.0,c2c9,TypeV-U,TypeVU-4,1.0,missing cas1,,not all loci have repeats,Lactobacillus,1578.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus_acidophilus
100,NC_006823,2.0,1.0,0.0,c2c9,TypeV-U,TypeVU-4,1.0,missing cas1,,not all loci have repeats,Aromatoleum,551759.0,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum_aromaticum
101,NC_006834,1.0,4.0,6.0,cas1|cas8c|cas4|cas3,TypeI,TypeI-C,1.0,,,not all loci have repeats,Xanthomonas,338.0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,NC_003902
102,NC_006905,1.0,2.0,1.0,cas1|c2c9,TypeV-U,TypeVU-4,1.0,,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
